drdp,infm,form
-600,3.130835,.6042154
-400,2.898043,.7784706
-200,2.923005,.9035666
0,2.015567,2.00043
200,2.16056,2.586765
400,2.298185,2.716296
600,2.505624,2.785767
800,2.308598,2.655316
1000,2.320943,2.563447
1200,2.203303,2.56228
